"age","mean.lifespan"
"317",31.55,11.0048888888889
"318",31.65,10.9048888888889
"319",31.75,10.8048888888889
"320",31.85,10.7048888888889
"321",31.95,10.6048888888889
"322",32.05,10.5048888888889
"323",32.15,13.0266666666667
"324",32.25,12.9266666666667
"325",32.35,12.8266666666667
"326",32.45,12.7266666666667
"327",32.55,12.6266666666667
"328",32.65,12.5266666666667
"329",32.75,12.4266666666667
"330",32.85,12.3266666666667
"331",32.95,12.2266666666667
"332",33.05,13.6525
"333",33.15,13.5525
"334",33.25,13.4525
"335",33.35,13.3525
"336",33.45,13.2525
"337",33.55,13.1525
"338",33.65,13.0525
"339",33.75,12.9525
"340",33.85,12.8525
"341",33.95,14.0727586206896
"342",34.05,13.9727586206897
"343",34.15,13.8727586206896
"344",34.25,13.7727586206897
"345",34.35,13.6727586206897
"346",34.45,13.5727586206896
"347",34.55,14.4751851851852
"348",34.65,14.3751851851852
"349",34.75,14.2751851851852
"350",34.85,14.1751851851852
"351",34.95,14.0751851851852
"352",35.05,13.9751851851852
"353",35.15,13.8751851851852
"354",35.25,13.7751851851852
"355",35.35,13.6751851851852
"356",35.45,13.5751851851852
"357",35.55,13.4751851851852
"358",35.65,13.3751851851852
"359",35.75,13.2751851851852
"360",35.85,13.1751851851852
"361",35.95,13.0751851851852
"362",36.05,12.9751851851852
"363",36.15,12.8751851851852
"364",36.25,12.7751851851852
"365",36.35,12.6751851851852
"366",36.45,12.5751851851852
"367",36.55,12.4751851851852
"368",36.65,12.3751851851852
"369",36.75,12.2751851851852
"370",36.85,12.1751851851852
"371",36.95,12.0751851851852
"372",37.05,12.9356
"373",37.15,12.8356
"374",37.25,12.7356
"375",37.35,12.6356
"376",37.45,12.5356
"377",37.55,12.4356
"378",37.65,12.3356
"379",37.75,12.2356
"380",37.85,12.1356
"381",37.95,12.0356
"382",38.05,11.9356
"383",38.15,11.8356
"384",38.25,11.7356
"385",38.35,11.6356
"386",38.45,11.5356
"387",38.55,11.4356
"388",38.65,11.3356
"389",38.75,11.2356
"390",38.85,11.1356
"391",38.95,11.0356
"392",39.05,10.9356
"393",39.15,10.8356
"394",39.25,10.7356
"395",39.35,10.6356
"396",39.45,10.5356
"397",39.55,10.4356
"398",39.65,10.3356
"399",39.75,10.2356
"400",39.85,10.1356
"401",39.95,10.0356
"402",40.05,9.9356
"403",40.15,9.83559999999999
"404",40.25,9.7356
"405",40.35,9.6356
"406",40.45,9.5356
"407",40.55,10.7359090909091
"408",40.65,10.6359090909091
"409",40.75,10.5359090909091
"410",40.85,10.4359090909091
"411",40.95,10.3359090909091
"412",41.05,10.2359090909091
"413",41.15,10.1359090909091
"414",41.25,10.0359090909091
"415",41.35,9.93590909090909
"416",41.45,9.83590909090909
"417",41.55,9.73590909090909
"418",41.65,9.63590909090908
"419",41.75,9.53590909090909
"420",41.85,9.43590909090909
"421",41.95,9.33590909090909
"422",42.05,9.23590909090909
