"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"176",17.45,0,3,3,46,49,0,0.0612244897959184,0.0612244897959184,13.6090869565217
"177",17.55,0,2,2,49,51,0,0.0392156862745098,0.0392156862745098,13.7598367346939
"178",17.65,1,3,4,51,53,0.0196078431372549,0.0566037735849057,0.0762116167221606,13.4282941176471
"179",17.75,3,1,4,53,51,0.0566037735849057,0.0196078431372549,0.0762116167221606,13.273641509434
"180",17.85,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,14.1362745098039
"181",17.95,0,0,0,50,50,0,0,0,14.3488
"182",18.05,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,14.2488
"183",18.15,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,13.6467692307692
"184",18.25,0,0,0,53,53,0,0,0,13.4083018867925
"185",18.35,0,0,0,53,53,0,0,0,13.3083018867925
"186",18.45,0,0,0,53,53,0,0,0,13.2083018867925
"187",18.55,1,0,1,53,52,0.0188679245283019,0,0.0188679245283019,13.1083018867925
"188",18.65,0,2,2,52,54,0,0.037037037037037,0.037037037037037,13.2601538461538
"189",18.75,1,2,3,54,55,0.0185185185185185,0.0363636363636364,0.0548821548821549,12.9267407407407
"190",18.85,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,12.7456
"191",18.95,0,0,0,56,56,0,0,0,12.5162857142857
"192",19.05,2,1,3,56,55,0.0357142857142857,0.0181818181818182,0.0538961038961039,12.4162857142857
"193",19.15,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,13.1056727272727
"194",19.25,0,0,0,54,54,0,0,0,13.2480925925926
"195",19.35,2,2,4,54,54,0.037037037037037,0.037037037037037,0.0740740740740741,13.1480925925926
"196",19.45,2,0,2,54,52,0.037037037037037,0,0.037037037037037,13.1760925925926
"197",19.55,0,2,2,52,54,0,0.037037037037037,0.037037037037037,13.5815961538462
"198",19.65,0,0,0,54,54,0,0,0,13.476537037037
"199",19.75,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,13.376537037037
"200",19.85,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,13.2913272727273
"201",19.95,0,0,0,56,56,0,0,0,12.9980535714286
"202",20.05,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,12.8980535714286
"203",20.15,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,13.0308727272727
"204",20.25,0,0,0,56,56,0,0,0,12.9271071428571
"205",20.35,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,12.8271071428571
"206",20.45,0,0,0,56,56,0,0,0,12.9355
"207",20.55,0,1,1,56,57,0,0.0175438596491228,0.0175438596491228,12.8355
"208",20.65,1,0,1,57,56,0.0175438596491228,0,0.0175438596491228,12.7124210526316
"209",20.75,0,0,0,56,56,0,0,0,12.8392321428571
"210",20.85,0,0,0,56,56,0,0,0,12.7392321428571
"211",20.95,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,12.6392321428571
"212",21.05,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,12.6180357142857
"213",21.15,0,2,2,56,58,0,0.0344827586206897,0.0344827586206897,12.7301607142857
"214",21.25,1,0,1,58,57,0.0172413793103448,0,0.0172413793103448,12.9001551724138
"215",21.35,0,2,2,57,59,0,0.0338983050847458,0.0338983050847458,13.0260877192982
"216",21.45,0,0,0,59,59,0,0,0,12.6070338983051
"217",21.55,0,0,0,59,59,0,0,0,12.5070338983051
"218",21.65,0,1,1,59,60,0,0.0166666666666667,0.0166666666666667,12.4070338983051
"219",21.75,1,0,1,60,59,0.0166666666666667,0,0.0166666666666667,12.1688166666667
"220",21.85,0,0,0,59,59,0,0,0,12.2743898305085
"221",21.95,0,0,0,59,59,0,0,0,12.1743898305085
"222",22.05,1,0,1,59,58,0.0169491525423729,0,0.0169491525423729,12.0743898305085
"223",22.15,0,0,0,58,58,0,0,0,12.1810517241379
"224",22.25,2,0,2,58,56,0.0344827586206897,0,0.0344827586206897,12.0810517241379
"225",22.35,0,0,0,56,56,0,0,0,12.4108214285714
"226",22.45,0,0,0,56,56,0,0,0,12.3108214285714
"227",22.55,0,0,0,56,56,0,0,0,12.2108214285714
"228",22.65,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,12.1108214285714
"229",22.75,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,12.2299636363636
"230",22.85,0,0,0,54,54,0,0,0,12.3553888888889
"231",22.95,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,12.2553888888889
