"","X.1","X","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"59",59,60,29.5,0,0,0,640,640,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"60",60,61,30,0,0,0,640,640,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"61",61,62,30.5,0,0,0,640,640,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"62",62,63,31,6,0,6,640,634,0.009375,0,0.009375,4,0.0269566795193272,8,0,0.0269566795193272
"63",63,64,31.5,0,0,0,634,634,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"64",64,65,32,0,0,0,634,634,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"65",65,66,32.5,0,0,0,634,634,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"66",66,67,33,0,0,0,634,634,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"67",67,68,33.5,0,0,0,634,634,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"68",68,69,34,70,74,144,634,638,0.110410094637224,0.115987460815047,0.226397555452271,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"69",69,70,34.5,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"70",70,71,35,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"71",71,72,35.5,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"72",72,73,36,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"73",73,74,36.5,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"74",74,75,37,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"75",75,76,37.5,0,0,0,638,638,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"76",76,77,38,68,47,115,638,617,0.106583072100313,0.0761750405186386,0.182758112618952,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"77",77,78,38.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"78",78,79,39,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"79",79,80,39.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"80",80,81,40,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"81",81,82,40.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"82",82,83,41,33,48,81,617,632,0.053484602917342,0.0759493670886076,0.12943397000595,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"83",83,84,41.5,0,0,0,632,632,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"84",84,85,42,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"85",85,86,42.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"86",86,87,43,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"87",87,88,43.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"88",88,89,44,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"89",89,90,44.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"90",90,91,45,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"91",91,92,45.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"92",92,93,46,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"93",93,94,46.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"94",94,95,47,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"95",95,96,47.5,0,0,0,632,632,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
