"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability","raw.turnover.probability"
"4716",471.500000000039,67,38,105,202,173,0.331683168316832,0.219653179190751,1,0.270762523075801,1,0.259568089356776,0.530330612432577,0.551336347507583
"4717",471.600000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4718",471.700000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4719",471.800000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4720",471.900000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4721",472.000000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4722",472.100000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4723",472.200000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4724",472.300000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4725",472.400000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4726",472.500000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4727",472.600000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4728",472.700000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4729",472.800000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4730",472.900000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4731",473.000000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4732",473.100000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4733",473.200000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4734",473.300000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4735",473.400000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4736",473.500000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4737",473.600000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4738",473.700000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4739",473.800000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4740",473.900000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4741",474.000000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4742",474.100000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4743",474.200000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4744",474.300000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4745",474.400000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4746",474.500000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4747",474.600000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4748",474.700000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4749",474.800000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4750",474.900000000039,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4751",475.00000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4752",475.10000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4753",475.20000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4754",475.30000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4755",475.40000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4756",475.50000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4757",475.60000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4758",475.70000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4759",475.80000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4760",475.90000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4761",476.00000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4762",476.10000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4763",476.20000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4764",476.30000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4765",476.40000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4766",476.50000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4767",476.60000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4768",476.70000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4769",476.80000000004,0,0,0,173,173,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
