"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"126",12.5,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"127",12.6,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"128",12.7,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"129",12.8,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"130",12.9,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"131",13,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"132",13.1,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"133",13.2,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"134",13.3,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"135",13.4,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"136",13.5,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"137",13.6,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"138",13.7,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"139",13.8,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"140",13.9,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"141",14,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"142",14.1,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"143",14.2,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"144",14.3,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
