"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","existing_n","mean.lifespan"
"165",16.35,0,0,0,48,48,0,0,0,48,30.0100833333333
"166",16.45,1,1,2,48,48,0.0208333333333333,0.0208333333333333,0.0416666666666667,48,30.0100833333333
"167",16.55,0,1,1,48,49,0,0.0204081632653061,0.0204081632653061,48,30.0180416666667
"168",16.65,0,0,0,49,49,0,0,0,49,29.8260612244898
"169",16.75,0,1,1,49,50,0,0.02,0.02,49,29.8260612244898
"170",16.85,1,1,2,50,50,0.02,0.02,0.04,50,29.6314
"171",16.95,1,0,1,50,49,0.02,0,0.02,50,29.66958
"172",17.05,1,0,1,49,48,0.0204081632653061,0,0.0204081632653061,49,29.9285918367347
"173",17.15,2,1,3,48,47,0.0416666666666667,0.0212765957446809,0.0629432624113475,48,30.1967291666667
"174",17.25,0,0,0,47,47,0,0,0,47,30.6042765957447
"175",17.35,2,1,3,47,46,0.0425531914893617,0.0217391304347826,0.0642923219241443,47,30.6042765957447
"176",17.45,0,3,3,46,49,0,0.0612244897959184,0.0612244897959184,46,31.0090869565217
"177",17.55,0,2,2,49,51,0,0.0392156862745098,0.0392156862745098,49,31.2598367346939
"178",17.65,1,3,4,51,53,0.0196078431372549,0.0566037735849057,0.0762116167221606,51,31.0282941176471
"179",17.75,3,1,4,53,51,0.0566037735849057,0.0196078431372549,0.0762116167221606,53,30.973641509434
"180",17.85,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,51,31.9362745098039
"181",17.95,0,0,0,50,50,0,0,0,50,32.2488
"182",18.05,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,50,32.2488
"183",18.15,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,52,31.7467692307692
"184",18.25,0,0,0,53,53,0,0,0,53,31.6083018867925
"185",18.35,0,0,0,53,53,0,0,0,53,31.6083018867925
"186",18.45,0,0,0,53,53,0,0,0,53,31.6083018867925
"187",18.55,1,0,1,53,52,0.0188679245283019,0,0.0188679245283019,53,31.6083018867925
"188",18.65,0,2,2,52,54,0,0.037037037037037,0.037037037037037,52,31.8601538461538
"189",18.75,1,2,3,54,55,0.0185185185185185,0.0363636363636364,0.0548821548821549,54,31.6267407407407
"190",18.85,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,55,31.5456
"191",18.95,0,0,0,56,56,0,0,0,56,31.4162857142857
"192",19.05,2,1,3,56,55,0.0357142857142857,0.0181818181818182,0.0538961038961039,56,31.4162857142857
"193",19.15,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,55,31.8761481481482
"194",19.25,0,0,0,54,54,0,0,0,54,32.1169245283019
"195",19.35,2,2,4,54,54,0.037037037037037,0.037037037037037,0.0740740740740741,54,32.1169245283019
"196",19.45,2,0,2,54,52,0.037037037037037,0,0.037037037037037,54,32.2473396226415
"197",19.55,0,2,2,52,54,0,0.037037037037037,0.037037037037037,52,32.749862745098
"198",19.65,0,0,0,54,54,0,0,0,54,32.6694807692308
"199",19.75,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,54,32.6694807692308
"200",19.85,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,55,32.6925094339623
"201",19.95,0,0,0,56,56,0,0,0,56,32.499462962963
"202",20.05,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,56,32.499462962963
"203",20.15,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,55,32.7335471698113
"204",20.25,0,0,0,56,56,0,0,0,56,32.737
"205",20.35,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,56,32.737
"206",20.45,0,0,0,56,56,0,0,0,56,32.9707169811321
"207",20.55,0,1,1,56,57,0,0.0175438596491228,0.0175438596491228,56,32.9707169811321
"208",20.65,1,0,1,57,56,0.0175438596491228,0,0.0175438596491228,57,32.9707169811321
"209",20.75,0,0,0,56,56,0,0,0,56,33.2084038461538
"210",20.85,0,0,0,56,56,0,0,0,56,33.2084038461538
"211",20.95,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,56,33.2084038461538
"212",21.05,1,1,2,56,56,0.0178571428571429,0.0178571428571429,0.0357142857142857,56,33.2932692307692
"213",21.15,0,2,2,56,58,0,0.0344827586206897,0.0344827586206897,56,33.5217115384615
"214",21.25,1,0,1,58,57,0.0172413793103448,0,0.0172413793103448,58,33.8231296296296
"215",21.35,0,2,2,57,59,0,0.0338983050847458,0.0338983050847458,57,34.0608867924528
"216",21.45,0,0,0,59,59,0,0,0,59,33.7282727272727
"217",21.55,0,0,0,59,59,0,0,0,59,33.7282727272727
"218",21.65,0,1,1,59,60,0,0.0166666666666667,0.0166666666666667,59,33.7282727272727
"219",21.75,1,0,1,60,59,0.0166666666666667,0,0.0166666666666667,60,33.5851607142857
"220",21.85,0,0,0,59,59,0,0,0,59,33.8005272727273
"221",21.95,0,0,0,59,59,0,0,0,59,33.8005272727273
"222",22.05,1,0,1,59,58,0.0169491525423729,0,0.0169491525423729,59,33.8005272727273
"223",22.15,0,0,0,58,58,0,0,0,58,34.0174259259259
"224",22.25,2,0,2,58,56,0.0344827586206897,0,0.0344827586206897,58,34.0174259259259
"225",22.35,0,0,0,56,56,0,0,0,56,34.4701153846154
"226",22.45,0,0,0,56,56,0,0,0,56,34.4701153846154
"227",22.55,0,0,0,56,56,0,0,0,56,34.4701153846154
"228",22.65,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,56,34.4701153846154
"229",22.75,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,55,34.7017254901961
