#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
1593049|2005-04-19T20:50:34.300000|41.633|14.15|0.9|BULLETIN-SISPICK||||ML|0.8|--|3 km N Fornelli (IS)
1593069|2005-04-19T21:49:24.420000|38.159|15.681|1.2|BULLETIN-SISPICK||||ML|0.9|--|5 km SW Calanna (RC)
1593079|2005-04-19T22:00:30.970000|41.715|14.164|8.8|BULLETIN-SISPICK||||ML|1.8|--|2 km E Rionero Sannitico (IS)
1593089|2005-04-19T22:08:50.900000|38.135|15.634|11.4|BULLETIN-SISPICK||||ML|1.8|--|Stretto di Messina (Reggio di Calabria, Messina)
1593099|2005-04-19T22:18:10.760000|41.645|14.155|7.2|BULLETIN-SISPICK||||ML|1.5|--|3 km S Acquaviva d'Isernia (IS)
1593109|2005-04-19T22:28:21.750000|41.68|14.181|9.3|BULLETIN-SISPICK||||ML|1.1|--|2 km S Forlì del Sannio (IS)
1593119|2005-04-19T22:36:23.540000|38.143|15.632|16.5|BULLETIN-SISPICK||||ML|3.2|--|Stretto di Messina (Reggio di Calabria, Messina)
1593129|2005-04-19T22:45:56.900000|41.705|14.166|9.9|BULLETIN-SISPICK||||ML|2.4|--|2 km NW Forlì del Sannio (IS)
1593139|2005-04-19T23:26:44.340000|41.664|14.166|9.1|BULLETIN-SISPICK||||ML|1.2|--|2 km SE Acquaviva d'Isernia (IS)
1593149|2005-04-19T23:49:55.390000|41.669|14.179|7.2|BULLETIN-SISPICK||||ML|1.3|--|2 km E Acquaviva d'Isernia (IS)
1593159|2005-04-20T00:00:18.780000|41.621|14.142|7.1|BULLETIN-SISPICK||||ML|1.3|--|2 km N Fornelli (IS)
1593169|2005-04-20T00:22:11.310000|41.655|14.171|5.2|BULLETIN-SISPICK||||ML|0.7|--|3 km SE Acquaviva d'Isernia (IS)
1593179|2005-04-20T00:28:31.950000|41.642|14.159|6.8|BULLETIN-SISPICK||||ML|1.2|--|4 km S Acquaviva d'Isernia (IS)
1593189|2005-04-20T01:10:44.330000|41.687|14.171|10.1|BULLETIN-SISPICK||||ML|2.2|--|1 km SW Forlì del Sannio (IS)
1593199|2005-04-20T01:18:29.940000|38.134|15.636|15.7|BULLETIN-SISPICK||||ML|1.9|--|Stretto di Messina (Reggio di Calabria, Messina)
1593209|2005-04-20T01:20:25.980000|41.657|14.158|7.0|BULLETIN-SISPICK||||ML|1.1|--|2 km SE Acquaviva d'Isernia (IS)
1593219|2005-04-20T01:54:35.710000|38.132|15.633|12.5|BULLETIN-SISPICK||||ML|0.9|--|Stretto di Messina (Reggio di Calabria, Messina)
1593229|2005-04-20T02:14:52.690000|38.139|15.645|12.5|BULLETIN-SISPICK||||ML|1.0|--|Stretto di Messina (Reggio di Calabria, Messina)
1593239|2005-04-20T02:37:55.580000|38.132|15.642|11.2|BULLETIN-SISPICK||||ML|1.1|--|Stretto di Messina (Reggio di Calabria, Messina)
1593249|2005-04-20T02:39:36.520000|38.142|15.652|12.5|BULLETIN-SISPICK||||ML|1.4|--|Stretto di Messina (Reggio di Calabria, Messina)
1593259|2005-04-20T03:12:20.590000|38.134|15.648|12.5|BULLETIN-SISPICK||||ML|1.3|--|Stretto di Messina (Reggio di Calabria, Messina)
1593269|2005-04-20T03:32:00.660000|38.134|15.635|12.5|BULLETIN-SISPICK||||Md|1.6|--|Stretto di Messina (Reggio di Calabria, Messina)
1593279|2005-04-20T05:06:36.030000|41.625|14.133|5.0|BULLETIN-SISPICK||||ML|1.5|--|2 km NW Fornelli (IS)
1593289|2005-04-20T05:24:08.490000|38.109|15.636|12.5|BULLETIN-SISPICK||||ML|1.1|--|Stretto di Messina (Reggio di Calabria, Messina)
1593299|2005-04-20T06:40:30.120000|38.128|15.633|12.5|BULLETIN-SISPICK||||ML|1.5|--|Stretto di Messina (Reggio di Calabria, Messina)
1593319|2005-04-20T08:01:05.930000|43.379|13.234|6.6|BULLETIN-SISPICK||||ML|1.7|--|1 km E Cingoli (MC)
1593329|2005-04-20T09:19:22.780000|42.909|12.97|12.5|BULLETIN-SISPICK||||ML|1.7|--|4 km NE Sellano (PG)
1593339|2005-04-20T10:03:10.810000|37.141|14.524|48.0|BULLETIN-SISPICK||||ML|2.2|--|7 km NW Mazzarrone (CT)
1593349|2005-04-20T12:05:04.900000|43.134|12.848|16.4|BULLETIN-SISPICK||||ML|1.8|--|5 km E Nocera Umbra (PG)
1593369|2005-04-20T17:56:36.280000|41.633|14.152|4.1|BULLETIN-SISPICK||||ML|1.3|--|3 km N Fornelli (IS)
1593389|2005-04-20T18:19:51.810000|41.655|14.152|9.2|BULLETIN-SISPICK||||ML|1.7|--|2 km S Acquaviva d'Isernia (IS)
1593399|2005-04-20T18:31:59.050000|44.394|11.901|18.8|BULLETIN-SISPICK||||Md|2.2|--|3 km S Lugo (RA)
1593439|2005-04-20T21:55:02.150000|39.425|16.983|27.3|BULLETIN-SISPICK||||ML|2.0|--|2 km W Crucoli (KR)
1593449|2005-04-21T00:08:20.010000|41.714|14.163|10.2|BULLETIN-SISPICK||||ML|2.6|--|2 km E Rionero Sannitico (IS)
1593459|2005-04-21T01:26:10.370000|41.65|14.16|7.4|BULLETIN-SISPICK||||ML|1.5|--|3 km S Acquaviva d'Isernia (IS)
1593469|2005-04-21T01:32:55.700000|40.768|15.583|6.5|BULLETIN-SISPICK||||ML|2.2|--|4 km E Bella (PZ)
1593479|2005-04-21T04:44:48.010000|42.788|13.476|20.3|BULLETIN-SISPICK||||ML|1.4|--|6 km E Acquasanta Terme (AP)
1593489|2005-04-21T05:01:36.670000|42.773|13.463|18.2|BULLETIN-SISPICK||||ML|1.7|--|4 km E Acquasanta Terme (AP)
1593499|2005-04-21T05:33:33.410000|41.686|14.173|9.9|BULLETIN-SISPICK||||ML|2.2|--|1 km SW Forlì del Sannio (IS)
