format version:	1.2
date:	12/6/2012

ACTINOPODA	:	ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	RADIOLARIA (intricate mineral skeletons with inner and outer portion)	_METACOLUMN_OFF

ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	:	Order unnamed ACANTHARIA 

Order unnamed ACANTHARIA 	event					[For details click <a href="http://tolweb.org/notes/?note_id=52">Order unnamed ACANTHARIA </a>]. Order not named. 
FAD
	Astrolithium	23.03
	Chiastolus	55.96
LAD
	Astrolithium, Chiastolus	0.00


RADIOLARIA (intricate mineral skeletons with inner and outer portion)	:	NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	SPUMELLARIA (colonial, simple central capsule, no initial spicule)	ACTINOPODA - INCERTAE SEDIS	_METACOLUMN_ON

NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)</a>]. 
FAD
	Artiscus, Periphaena, Phaseliforma, Pyramispongia, Quinquecapsularia, Saturniforma, Spongoacanthus, Spongobrachium	100.50
	Acanthosphaera, Euchitonia, Theodiscus	110.22
	Spongotripus, Spongotrochus	119.63
	Pyloctostylus	130.77
	Cyclastrum, Dicroa, Stephanastrum	133.88
	Cecrops, Stylostaurus	136.41
	Cenodiscaella, Cenodiscus, Heliosphaera, Histiastrum, Phacodiscus, Spongaster, Trochodiscus, Xiphosphaera	139.39
	Chitonastrum, Dactyliosphaera, Diactoma, Dicranastrum, Druppastylus, Hexadoras, Lithelius, Myelastrum, Staurocromyum, Stylospongia, Zonodiscus	145.01
	Bivallupus, Ditrabs, Mesovallupus, Neovallupus, Supervallupus, Vallupus	148.53
	Archaeotritrabs, Didactylum, Lithapium, Nodotetraedra, Protoxiphotractus, Sphaerostylus	152.06
	Protovallupus, Tetrarectangulum	157.25
	Foremanella	160.84
	Amphibrachium, Cenellipsis, Cromyodruppa, Dictyastrum, Echinomma, Ellipsidium, Ellipsostylus, Hexastylarium, Hymeniastrum, Lithatractus, Pentalastrum, Pentasphaera, Rhodosphaera, Rhopalastrum, Rustia, Spongolena, Staurodictya, Staurolonche, Staurostylus, Tessarastrum, Thecosphaera, Xiphostaurus	163.47
